clean_title,title_uuid,volume_count,page_count,num_of_unique_chrs,num_of_chrs,avg_chr_per_page,avg_chr_per_volume
#Zombie Sagashitemasu,f3a18261-6be2-45f1-8f08-91184fcf7478,1,173,684,19895,115.0,19895.0
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,12,2403,1445,170676,71.02621722846442,14223.0
20 Seiki Shounen,d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,22,5200,1881,584190,112.34423076923076,26554.090909090908
20th Century Boys,3f42387b-2c2e-4467-8e69-c6190a5dc7a5,22,4472,1997,614308,137.3676207513417,27923.090909090908
21 Seiki Shounen,f60f696f-eef1-489a-a1c4-c29afacb6f32,2,438,947,43739,99.8607305936073,21869.5
21st Century Boys,84eace3f-faf8-426a-87df-70f8a6af0fdf,2,393,1059,48084,122.35114503816794,24042.0
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,15,2867,2059,528599,184.37356121381234,35239.933333333334
6000,bf308c30-90fe-4f81-9da5-04d714ca1df4,4,741,1114,46946,63.35492577597841,11736.5
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,11,1403,1695,296822,211.5623663578047,26983.81818181818
A Silent Voice,3a6913e9-d78c-4183-993a-8311f58c253e,7,1354,1319,133587,98.66100443131462,19083.85714285714
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,9,1895,1529,179453,94.69815303430079,19939.222222222223
AKIRA,f0fa15ef-bd35-41ca-b749-fd327119472c,6,2192,1693,177600,81.02189781021897,29600.0
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,9,1557,1338,94719,60.834296724470136,10524.333333333334
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,14,3336,2017,235754,70.66966426858514,16839.571428571428
ARIA,6727b3fe-2fc3-4acc-b851-15c64b4fae0b,7,2557,1637,231675,90.60422369964803,33096.42857142857
ARMS,98f9b110-e6e2-4a22-86e7-d81cec070bb9,22,4661,2083,590925,126.78073374812271,26860.227272727272
Abara,5f9c6edd-a882-47f4-a87d-6b7a1739318d,2,395,688,12622,31.954430379746835,6311.0
Acony,51a4849e-4e4d-4011-a9a7-43062e67ac39,3,524,1158,61172,116.74045801526718,20390.666666666668
Adachi to Shimamura (Upscale),0e1d1681-6c55-4200-be80-478459c987fb,5,957,1178,92751,96.91849529780565,18550.2
Adam to Eve,5de4bf62-08f9-4841-9a83-fb3cef4b8b0a,2,518,728,18409,35.53861003861004,9204.5
Adolf ni Tsugu,5bc30ac2-871d-4921-9d64-4d69e3a1af3e,5,1309,1938,276763,211.43086325439268,55352.6
Aharen-san wa Hakarenai,d62debbf-036e-4bbf-a54c-d5645c6e7b77,16,3224,1673,288941,89.62189826302729,18058.8125
Aho Girl,74ffe70f-82ff-495d-bc21-65b91e864b0b,12,1912,1512,282338,147.6663179916318,23528.166666666668
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,12,2763,1442,228661,82.7582338038364,19055.083333333332
Ai Kurushii Kara Kowashitai,a0879e2b-db38-4945-96a7-f096767c50d2,3,535,730,38814,72.54953271028037,12938.0
Ai to Noroi,a6b7fdad-14eb-424c-b304-592b6faab826,3,665,1047,47909,72.0436090225564,15969.666666666666
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,17,3437,1664,235102,68.40325865580448,13829.529411764706
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,41,7893,2262,799604,101.30546053465096,19502.536585365855
Akazukin no Okamideshi,34bd7e02-35a6-428a-99ac-ce9c049b415f,3,649,1228,91642,141.20493066255779,30547.333333333332
Ake! Mesu yuki chigoku No mon,c9516c05-af8b-4077-8ba5-8e783d1b3e3d,1,198,972,30383,153.44949494949495,30383.0
Aku no Hana,d5936928-276b-420f-98b2-3458c8889577,11,2152,1255,116672,54.215613382899626,10606.545454545454
Aku no Kyouten,2994256a-4dd2-494a-8fb3-57789e0656b1,9,1626,1818,168552,103.66051660516605,18728.0
Akumetsu,227a2dff-06eb-40e3-bb33-2b30edb42561,18,3517,2079,311507,88.57179414273529,17305.944444444445
Alice to Zouroku,7cdeaafe-3ab4-44d5-bddf-20feead5992c,9,1604,1436,183550,114.43266832917706,20394.444444444445
All You Need Is Kill,f10b95ba-c801-4bdf-a8f1-6ac9ef33fba2,2,437,966,34578,79.1258581235698,17289.0
Amaama to Inazuma,00b2c488-0000-46e2-bb0b-78279162b0a9,13,2508,1545,386122,153.9561403508772,29701.69230769231
Amaete Ii yo,56807f00-2a9e-4147-8b62-441804e1f781,1,239,615,29466,123.2887029288703,29466.0
Amanchu,3db96ea9-6170-48fa-a92b-2d0f2d719617,17,3206,1747,271222,84.59825327510917,15954.235294117647
Ame no kubi,53774adb-aae2-4181-847c-69d74a608e86,2,166,514,8702,52.42168674698795,4351.0
Ame to kimi,c90d3d68-212c-4d1e-8058-2e13c7446feb,6,827,974,48130,58.19830713422007,8021.666666666667
Amemiya-san,3624d0db-fef2-43ab-b759-0c1ecb660847,1,170,636,13159,77.40588235294118,13159.0
Anata ga Shite Kurenakutemo,999758c7-8f40-4ec8-b6cc-a3e18282dc2f,11,2020,1340,139684,69.15049504950495,12698.545454545454
Ane Ana,fb2032eb-aa70-48c6-bfe4-b2b342818f00,3,520,1074,61820,118.88461538461539,20606.666666666668
