title,title_uuid,volume_number,length,page_count,clean_title
#Zombie Sagashitemasu,f3a18261-6be2-45f1-8f08-91184fcf7478,1,19895,173,#Zombie Sagashitemasu
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,1,13768,200,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,2,10948,198,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,3,12417,196,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,4,12316,199,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,5,14383,198,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,6,14186,198,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,7,14496,198,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,8,14730,204,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,9,14845,204,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,10,14569,202,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,11,17419,202,14 Sai no Koi
14 Sai no Koi,0aeb8b9e-3214-4b90-ba00-836047aa337a,12,16588,204,14 Sai no Koi
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,1,30769,226,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,2,31518,228,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,3,26440,226,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,4,26647,228,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,5,29375,232,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,6,29471,230,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,7,28498,234,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,8,26026,228,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,9,24759,232,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,10,25874,230,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,11,28066,250,20 Seiki Shounen
20 Seiki Shounen (Upscaled),d5f62ef1-396c-4cb5-b8bc-252b3ecb998b,12,28013,250,20 Seiki Shounen
